,id_processo,data,status,tipo_da_acao,comarca,tipo_movimento,julgamento
0,401,2018-12-12,Em andamento,Ação Penal,Comarca de Osasco,Execução de sentença,True
1,6212,2017-05-23,Arquivado,Ação de Indenização,Comarca de Santo André,Processo iniciado,True
2,9442,2021-08-16,Arquivado,Ação de Indenização,Comarca de Santo André,Processo iniciado,True
3,8317,2017-11-07,Em andamento,Ação Civil Pública,Comarca de Osasco,Processo iniciado,True
4,4382,2016-08-08,Concluído,Ação Penal,Comarca de Osasco,Processo iniciado,False
5,9422,2020-07-14,Concluído,Ação Penal,Comarca de Osasco,Processo iniciado,True
6,8213,2022-10-20,Em andamento,Ação Civil Pública,Comarca de Santo André,Processo iniciado,False
7,6005,2019-07-21,Em andamento,Ação de Indenização,Comarca de São Paulo,Execução de sentença,True
8,2877,2018-03-20,Arquivado,Ação Penal,Comarca de São Paulo,Processo iniciado,True
9,3767,2016-09-12,Em andamento,Ação de Indenização,Comarca de São Paulo,Processo iniciado,False
10,5641,2018-07-27,Arquivado,Ação de Indenização,Comarca de Osasco,Processo iniciado,True
11,3762,2016-05-13,Concluído,Ação Civil Pública,Comarca de Osasco,Execução de sentença,True
12,7734,2018-06-14,Concluído,Ação Civil Pública,Comarca de São Paulo,Execução de sentença,True
13,7905,2021-10-26,Em andamento,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
14,8429,2021-07-05,Concluído,Ação Civil Pública,Comarca de São Paulo,Execução de sentença,False
15,9301,2017-01-12,Em andamento,Ação Penal,Comarca de Osasco,Execução de sentença,True
16,1519,2018-05-03,Concluído,Ação Civil Pública,Comarca de Osasco,Execução de sentença,True
17,4957,2020-08-15,Arquivado,Ação Penal,Comarca de São Paulo,Execução de sentença,True
18,6244,2021-03-03,Arquivado,Ação Penal,Comarca de Osasco,Processo iniciado,True
19,675,2019-01-27,Arquivado,Ação de Indenização,Comarca de Santo André,Execução de sentença,False
20,1728,2021-05-17,Arquivado,Ação Penal,Comarca de Santo André,Execução de sentença,False
21,921,2017-08-09,Em andamento,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,True
22,7626,2019-07-27,Em andamento,Ação de Indenização,Comarca de Santo André,Execução de sentença,True
23,1822,2021-04-05,Concluído,Ação Penal,Comarca de Santo André,Execução de sentença,True
24,6595,2018-01-22,Arquivado,Ação Civil Pública,Comarca de Osasco,Processo iniciado,True
25,3441,2018-06-06,Arquivado,Ação de Indenização,Comarca de Osasco,Execução de sentença,True
26,8979,2019-03-06,Concluído,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
27,8322,2021-01-14,Concluído,Ação Penal,Comarca de Santo André,Processo iniciado,False
28,6738,2020-08-03,Concluído,Ação Civil Pública,Comarca de São Bernardo do Campo,Execução de sentença,False
29,4998,2021-05-03,Concluído,Ação Penal,Comarca de Santo André,Processo iniciado,True
30,4996,2020-03-16,Arquivado,Ação de Indenização,Comarca de Osasco,Execução de sentença,True
31,4814,2022-01-14,Em andamento,Ação Civil Pública,Comarca de Osasco,Execução de sentença,True
32,7804,2018-01-30,Em andamento,Ação de Indenização,Comarca de São Paulo,Execução de sentença,True
33,6809,2018-04-12,Concluído,Ação de Indenização,Comarca de São Bernardo do Campo,Processo iniciado,False
34,5359,2022-04-09,Concluído,Ação Civil Pública,Comarca de Santo André,Execução de sentença,True
35,9067,2016-08-25,Em andamento,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,True
36,3051,2018-06-05,Em andamento,Ação de Indenização,Comarca de Santo André,Execução de sentença,True
37,7597,2019-07-14,Em andamento,Ação Civil Pública,Comarca de Santo André,Execução de sentença,True
38,5271,2021-03-26,Arquivado,Ação Civil Pública,Comarca de São Paulo,Processo iniciado,True
39,6373,2018-07-21,Concluído,Ação de Indenização,Comarca de Santo André,Processo iniciado,False
40,1850,2018-12-17,Arquivado,Ação Penal,Comarca de Osasco,Processo iniciado,True
41,9458,2019-10-12,Em andamento,Ação de Indenização,Comarca de São Bernardo do Campo,Execução de sentença,False
42,5071,2021-09-28,Concluído,Ação de Indenização,Comarca de Santo André,Execução de sentença,False
43,9281,2017-06-24,Concluído,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,True
44,702,2021-05-24,Concluído,Ação Penal,Comarca de São Paulo,Processo iniciado,False
45,4954,2019-11-30,Arquivado,Ação Civil Pública,Comarca de Osasco,Processo iniciado,True
46,7898,2021-06-11,Concluído,Ação de Indenização,Comarca de São Paulo,Execução de sentença,False
47,271,2016-01-05,Arquivado,Ação Civil Pública,Comarca de Osasco,Execução de sentença,True
48,3846,2018-09-30,Em andamento,Ação de Indenização,Comarca de Osasco,Execução de sentença,False
49,5453,2021-03-02,Em andamento,Ação Penal,Comarca de Osasco,Processo iniciado,False
50,9141,2021-06-04,Concluído,Ação Penal,Comarca de Osasco,Execução de sentença,True
51,3117,2016-11-25,Concluído,Ação de Indenização,Comarca de São Paulo,Processo iniciado,True
52,8645,2018-08-09,Em andamento,Ação Civil Pública,Comarca de Osasco,Execução de sentença,False
53,2985,2019-11-07,Arquivado,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
54,1222,2021-06-30,Arquivado,Ação Penal,Comarca de São Paulo,Processo iniciado,False
55,6469,2017-07-26,Arquivado,Ação Penal,Comarca de Santo André,Execução de sentença,False
56,3796,2020-10-25,Arquivado,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,True
57,8283,2021-08-02,Em andamento,Ação de Indenização,Comarca de São Bernardo do Campo,Execução de sentença,False
58,6276,2018-04-25,Arquivado,Ação Civil Pública,Comarca de Osasco,Processo iniciado,True
59,3239,2016-06-26,Arquivado,Ação Penal,Comarca de São Bernardo do Campo,Processo iniciado,False
60,1838,2017-01-25,Arquivado,Ação de Indenização,Comarca de São Paulo,Execução de sentença,True
61,1596,2016-05-29,Arquivado,Ação Penal,Comarca de São Paulo,Execução de sentença,True
62,5111,2016-12-07,Concluído,Ação de Indenização,Comarca de São Paulo,Execução de sentença,False
63,9517,2019-01-18,Concluído,Ação Civil Pública,Comarca de Osasco,Execução de sentença,False
64,1317,2016-03-11,Arquivado,Ação Penal,Comarca de Osasco,Execução de sentença,False
65,4970,2018-03-29,Em andamento,Ação de Indenização,Comarca de Osasco,Processo iniciado,True
66,2273,2021-08-08,Concluído,Ação Penal,Comarca de São Bernardo do Campo,Processo iniciado,True
67,5285,2016-09-27,Concluído,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,True
68,5926,2019-12-05,Em andamento,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,False
69,7573,2019-12-24,Em andamento,Ação Civil Pública,Comarca de Osasco,Execução de sentença,False
70,6869,2018-08-02,Arquivado,Ação de Indenização,Comarca de São Paulo,Execução de sentença,True
71,1504,2022-06-30,Em andamento,Ação de Indenização,Comarca de Osasco,Execução de sentença,True
72,3913,2016-01-18,Arquivado,Ação Civil Pública,Comarca de São Bernardo do Campo,Execução de sentença,False
73,3135,2020-02-17,Em andamento,Ação Civil Pública,Comarca de São Paulo,Execução de sentença,False
74,4925,2017-06-22,Concluído,Ação de Indenização,Comarca de Santo André,Processo iniciado,False
75,3126,2022-02-09,Arquivado,Ação Penal,Comarca de Santo André,Execução de sentença,False
76,7462,2016-12-07,Arquivado,Ação Civil Pública,Comarca de Osasco,Execução de sentença,True
77,1566,2017-10-11,Em andamento,Ação Civil Pública,Comarca de Osasco,Processo iniciado,False
78,8370,2020-07-06,Concluído,Ação Penal,Comarca de Osasco,Execução de sentença,True
79,8524,2021-04-23,Arquivado,Ação Penal,Comarca de São Paulo,Execução de sentença,False
80,4363,2016-11-17,Concluído,Ação de Indenização,Comarca de Osasco,Execução de sentença,True
81,201,2021-03-23,Arquivado,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
82,9419,2017-07-28,Em andamento,Ação Penal,Comarca de Osasco,Execução de sentença,False
83,4697,2016-04-16,Concluído,Ação Civil Pública,Comarca de Osasco,Processo iniciado,False
84,3089,2017-12-10,Arquivado,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,False
85,226,2022-11-01,Em andamento,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
86,7764,2022-10-27,Arquivado,Ação de Indenização,Comarca de São Bernardo do Campo,Execução de sentença,True
87,732,2021-10-18,Arquivado,Ação Civil Pública,Comarca de Santo André,Processo iniciado,True
88,3731,2021-04-17,Arquivado,Ação Penal,Comarca de São Paulo,Processo iniciado,False
89,6922,2022-08-31,Arquivado,Ação de Indenização,Comarca de Osasco,Execução de sentença,True
90,4574,2016-12-18,Arquivado,Ação Penal,Comarca de Santo André,Processo iniciado,True
91,9375,2018-05-16,Em andamento,Ação Civil Pública,Comarca de São Paulo,Execução de sentença,False
92,5292,2017-08-02,Concluído,Ação Penal,Comarca de Santo André,Execução de sentença,False
93,7034,2016-04-17,Arquivado,Ação Penal,Comarca de Santo André,Execução de sentença,True
94,7553,2022-10-09,Em andamento,Ação Penal,Comarca de Osasco,Processo iniciado,False
95,8785,2019-05-30,Em andamento,Ação Penal,Comarca de São Bernardo do Campo,Processo iniciado,True
96,3408,2016-06-16,Arquivado,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
97,1201,2017-01-23,Arquivado,Ação Civil Pública,Comarca de Osasco,Processo iniciado,True
98,5021,2022-10-15,Arquivado,Ação Penal,Comarca de São Bernardo do Campo,Processo iniciado,True
99,5195,2020-03-31,Arquivado,Ação Penal,Comarca de Osasco,Processo iniciado,False
100,8000,2020-09-13,Arquivado,Ação de Indenização,Comarca de Osasco,Execução de sentença,True
101,4727,2022-05-22,Arquivado,Ação Penal,Comarca de Osasco,Execução de sentença,True
102,9036,2017-09-25,Concluído,Ação Civil Pública,Comarca de Osasco,Execução de sentença,True
103,8201,2021-10-24,Concluído,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,False
104,4724,2017-07-17,Concluído,Ação Civil Pública,Comarca de Osasco,Execução de sentença,False
105,496,2021-06-30,Em andamento,Ação Civil Pública,Comarca de Osasco,Processo iniciado,False
106,7604,2018-03-03,Arquivado,Ação Civil Pública,Comarca de Santo André,Execução de sentença,True
107,5436,2021-11-20,Concluído,Ação Penal,Comarca de Osasco,Execução de sentença,True
108,6850,2020-04-05,Concluído,Ação de Indenização,Comarca de São Bernardo do Campo,Processo iniciado,False
109,2608,2020-12-08,Arquivado,Ação Civil Pública,Comarca de Santo André,Execução de sentença,False
110,8704,2021-05-12,Em andamento,Ação de Indenização,Comarca de São Bernardo do Campo,Processo iniciado,False
111,8119,2022-03-13,Arquivado,Ação Civil Pública,Comarca de São Paulo,Processo iniciado,True
112,3180,2019-05-10,Arquivado,Ação de Indenização,Comarca de São Paulo,Execução de sentença,False
113,7890,2021-03-01,Concluído,Ação Civil Pública,Comarca de Osasco,Execução de sentença,False
114,8547,2019-02-04,Concluído,Ação de Indenização,Comarca de Santo André,Execução de sentença,True
115,5262,2019-08-15,Concluído,Ação Penal,Comarca de São Bernardo do Campo,Processo iniciado,True
116,1389,2017-01-27,Em andamento,Ação Civil Pública,Comarca de São Bernardo do Campo,Execução de sentença,True
117,4075,2018-07-16,Arquivado,Ação de Indenização,Comarca de São Paulo,Execução de sentença,True
118,6971,2018-11-20,Arquivado,Ação de Indenização,Comarca de Osasco,Execução de sentença,True
119,5176,2016-05-17,Concluído,Ação de Indenização,Comarca de São Bernardo do Campo,Execução de sentença,False
120,236,2022-03-16,Arquivado,Ação de Indenização,Comarca de São Paulo,Processo iniciado,False
121,6782,2017-05-08,Arquivado,Ação Civil Pública,Comarca de São Paulo,Execução de sentença,False
122,9209,2019-02-25,Concluído,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
123,3142,2016-07-14,Em andamento,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,True
124,8006,2017-12-29,Concluído,Ação Penal,Comarca de Santo André,Processo iniciado,True
125,662,2017-12-21,Em andamento,Ação de Indenização,Comarca de Osasco,Processo iniciado,True
126,1196,2018-08-31,Em andamento,Ação Civil Pública,Comarca de São Paulo,Processo iniciado,False
127,3490,2016-12-18,Concluído,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
128,7903,2021-12-03,Em andamento,Ação Civil Pública,Comarca de Osasco,Processo iniciado,True
129,9766,2021-09-24,Em andamento,Ação Penal,Comarca de Osasco,Execução de sentença,False
130,925,2018-06-09,Concluído,Ação Civil Pública,Comarca de São Paulo,Processo iniciado,True
131,7244,2022-08-24,Concluído,Ação de Indenização,Comarca de Osasco,Execução de sentença,False
132,1239,2016-01-18,Concluído,Ação de Indenização,Comarca de Santo André,Processo iniciado,False
133,6204,2020-09-17,Concluído,Ação de Indenização,Comarca de São Bernardo do Campo,Execução de sentença,False
134,8303,2018-07-11,Concluído,Ação Penal,Comarca de São Paulo,Processo iniciado,False
135,6067,2021-05-14,Concluído,Ação Civil Pública,Comarca de São Bernardo do Campo,Execução de sentença,False
136,8011,2017-04-28,Arquivado,Ação Civil Pública,Comarca de Santo André,Execução de sentença,True
137,4004,2022-03-31,Em andamento,Ação de Indenização,Comarca de Santo André,Processo iniciado,False
138,7055,2019-12-14,Arquivado,Ação Penal,Comarca de Santo André,Processo iniciado,False
139,3068,2016-05-31,Arquivado,Ação de Indenização,Comarca de Santo André,Processo iniciado,False
140,502,2021-12-25,Arquivado,Ação Civil Pública,Comarca de Osasco,Processo iniciado,True
141,4901,2018-11-14,Concluído,Ação Civil Pública,Comarca de Osasco,Processo iniciado,False
142,7568,2022-03-16,Arquivado,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,False
143,5646,2021-01-26,Arquivado,Ação de Indenização,Comarca de São Paulo,Processo iniciado,True
144,8058,2016-12-27,Em andamento,Ação Civil Pública,Comarca de Santo André,Execução de sentença,False
145,6896,2020-12-30,Arquivado,Ação Civil Pública,Comarca de São Bernardo do Campo,Execução de sentença,False
146,5953,2017-01-19,Concluído,Ação Civil Pública,Comarca de São Bernardo do Campo,Execução de sentença,True
147,5345,2021-07-17,Concluído,Ação Penal,Comarca de Osasco,Processo iniciado,False
148,1774,2022-02-28,Arquivado,Ação Penal,Comarca de Santo André,Processo iniciado,True
149,6232,2021-06-15,Concluído,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,False
150,6714,2020-03-27,Concluído,Ação Penal,Comarca de Osasco,Execução de sentença,False
151,9443,2017-02-09,Concluído,Ação Civil Pública,Comarca de São Bernardo do Campo,Processo iniciado,True
152,5483,2020-03-26,Em andamento,Ação de Indenização,Comarca de São Bernardo do Campo,Execução de sentença,True
153,857,2017-05-31,Arquivado,Ação de Indenização,Comarca de Osasco,Execução de sentença,True
154,6531,2017-03-07,Concluído,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
155,6786,2020-10-24,Concluído,Ação Penal,Comarca de Santo André,Processo iniciado,True
156,1815,2020-11-04,Concluído,Ação Penal,Comarca de Osasco,Processo iniciado,True
157,200,2020-11-08,Arquivado,Ação Penal,Comarca de Osasco,Execução de sentença,False
158,2851,2021-11-10,Em andamento,Ação Penal,Comarca de São Paulo,Execução de sentença,False
159,4743,2017-07-07,Em andamento,Ação Penal,Comarca de São Paulo,Execução de sentença,True
160,6754,2016-10-08,Arquivado,Ação de Indenização,Comarca de São Bernardo do Campo,Execução de sentença,False
161,5466,2016-09-25,Concluído,Ação Civil Pública,Comarca de Santo André,Execução de sentença,True
162,4411,2022-08-27,Em andamento,Ação de Indenização,Comarca de Santo André,Processo iniciado,True
163,7272,2019-07-28,Concluído,Ação Penal,Comarca de São Paulo,Processo iniciado,False
164,901,2020-08-26,Em andamento,Ação Penal,Comarca de São Paulo,Processo iniciado,False
165,6159,2019-02-25,Arquivado,Ação Penal,Comarca de São Bernardo do Campo,Processo iniciado,True
166,8900,2020-03-07,Concluído,Ação Penal,Comarca de São Paulo,Execução de sentença,False
167,5673,2017-08-12,Arquivado,Ação de Indenização,Comarca de Osasco,Execução de sentença,True
168,5540,2017-01-06,Arquivado,Ação Penal,Comarca de São Paulo,Processo iniciado,True
169,2613,2016-06-28,Em andamento,Ação Civil Pública,Comarca de Santo André,Execução de sentença,False
170,1532,2019-11-12,Em andamento,Ação Civil Pública,Comarca de Santo André,Processo iniciado,True
171,5447,2020-11-06,Concluído,Ação Civil Pública,Comarca de São Paulo,Execução de sentença,True
172,1459,2020-02-12,Em andamento,Ação de Indenização,Comarca de Osasco,Execução de sentença,False
173,1511,2016-06-05,Em andamento,Ação Civil Pública,Comarca de Santo André,Processo iniciado,True
174,1443,2018-11-12,Concluído,Ação Penal,Comarca de São Paulo,Processo iniciado,True
175,3779,2018-04-15,Concluído,Ação Penal,Comarca de Osasco,Processo iniciado,False
176,3232,2020-06-14,Arquivado,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
177,4632,2021-01-13,Em andamento,Ação Civil Pública,Comarca de Santo André,Processo iniciado,True
178,983,2017-02-20,Arquivado,Ação Penal,Comarca de Santo André,Processo iniciado,False
179,8624,2017-05-08,Em andamento,Ação Civil Pública,Comarca de São Paulo,Processo iniciado,True
180,1963,2022-04-14,Concluído,Ação de Indenização,Comarca de Santo André,Processo iniciado,False
181,3482,2017-05-22,Concluído,Ação Civil Pública,Comarca de Osasco,Execução de sentença,True
182,3184,2020-03-28,Arquivado,Ação Civil Pública,Comarca de São Paulo,Processo iniciado,True
183,8476,2019-07-15,Concluído,Ação Civil Pública,Comarca de São Bernardo do Campo,Processo iniciado,False
184,2501,2017-06-24,Concluído,Ação de Indenização,Comarca de São Bernardo do Campo,Execução de sentença,True
185,7887,2018-11-24,Arquivado,Ação Penal,Comarca de Osasco,Processo iniciado,False
186,7611,2017-08-02,Concluído,Ação Civil Pública,Comarca de São Bernardo do Campo,Processo iniciado,False
187,7727,2020-03-07,Concluído,Ação Penal,Comarca de Osasco,Execução de sentença,False
188,7160,2017-12-11,Arquivado,Ação Penal,Comarca de Santo André,Processo iniciado,True
189,1656,2020-11-30,Concluído,Ação de Indenização,Comarca de São Paulo,Execução de sentença,False
190,8462,2017-10-12,Em andamento,Ação Penal,Comarca de Osasco,Execução de sentença,True
191,9431,2017-12-18,Em andamento,Ação Civil Pública,Comarca de Santo André,Execução de sentença,False
192,1480,2021-11-26,Arquivado,Ação Penal,Comarca de Osasco,Execução de sentença,False
193,7555,2017-11-03,Em andamento,Ação de Indenização,Comarca de São Paulo,Execução de sentença,True
194,8575,2018-01-07,Concluído,Ação Penal,Comarca de Santo André,Processo iniciado,False
195,6749,2020-02-23,Arquivado,Ação de Indenização,Comarca de São Paulo,Processo iniciado,True
196,5678,2019-01-22,Concluído,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
197,5829,2020-09-14,Concluído,Ação de Indenização,Comarca de São Bernardo do Campo,Processo iniciado,False
198,4844,2018-06-14,Arquivado,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,False
199,4640,2019-03-13,Em andamento,Ação Penal,Comarca de Osasco,Execução de sentença,False
200,565,2017-07-16,Arquivado,Ação Penal,Comarca de São Bernardo do Campo,Processo iniciado,True
201,4535,2021-02-20,Arquivado,Ação Civil Pública,Comarca de São Paulo,Processo iniciado,False
202,2757,2017-09-26,Concluído,Ação Penal,Comarca de Santo André,Execução de sentença,True
203,2186,2022-12-19,Arquivado,Ação Penal,Comarca de Osasco,Execução de sentença,True
204,1497,2019-07-28,Arquivado,Ação Civil Pública,Comarca de São Paulo,Processo iniciado,True
205,1737,2018-11-14,Arquivado,Ação Penal,Comarca de Santo André,Processo iniciado,True
206,8861,2016-10-27,Arquivado,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,False
207,17,2020-08-27,Em andamento,Ação Penal,Comarca de São Bernardo do Campo,Processo iniciado,False
208,1325,2017-11-29,Arquivado,Ação Civil Pública,Comarca de Osasco,Processo iniciado,True
209,6157,2018-05-07,Arquivado,Ação Penal,Comarca de São Paulo,Execução de sentença,True
210,499,2019-10-07,Em andamento,Ação Penal,Comarca de São Paulo,Processo iniciado,True
211,9943,2020-05-29,Em andamento,Ação Penal,Comarca de São Paulo,Execução de sentença,True
212,513,2017-12-07,Concluído,Ação Penal,Comarca de Osasco,Execução de sentença,False
213,1630,2018-07-07,Concluído,Ação Civil Pública,Comarca de Osasco,Execução de sentença,False
214,6041,2021-12-15,Concluído,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,False
215,6331,2022-11-17,Concluído,Ação Civil Pública,Comarca de Santo André,Execução de sentença,True
216,6047,2017-01-18,Concluído,Ação Penal,Comarca de São Paulo,Execução de sentença,False
217,2375,2016-01-26,Arquivado,Ação Penal,Comarca de Osasco,Processo iniciado,False
218,8271,2016-10-12,Concluído,Ação Civil Pública,Comarca de Osasco,Processo iniciado,True
219,9857,2019-08-26,Arquivado,Ação Civil Pública,Comarca de Osasco,Execução de sentença,False
220,4546,2018-11-18,Concluído,Ação de Indenização,Comarca de Santo André,Processo iniciado,False
221,5389,2021-01-01,Arquivado,Ação Civil Pública,Comarca de São Bernardo do Campo,Processo iniciado,True
222,1248,2016-09-30,Concluído,Ação de Indenização,Comarca de Santo André,Processo iniciado,False
223,5135,2019-05-12,Arquivado,Ação Civil Pública,Comarca de São Paulo,Execução de sentença,True
224,3083,2016-03-25,Arquivado,Ação Penal,Comarca de São Paulo,Execução de sentença,False
225,1624,2022-05-15,Em andamento,Ação de Indenização,Comarca de Osasco,Execução de sentença,False
226,6536,2020-01-02,Concluído,Ação de Indenização,Comarca de São Bernardo do Campo,Processo iniciado,False
227,9231,2020-07-14,Em andamento,Ação de Indenização,Comarca de Osasco,Processo iniciado,True
228,7413,2022-02-16,Concluído,Ação Penal,Comarca de São Bernardo do Campo,Processo iniciado,True
229,8061,2020-01-23,Concluído,Ação de Indenização,Comarca de São Paulo,Processo iniciado,False
230,551,2018-06-25,Arquivado,Ação Penal,Comarca de Santo André,Processo iniciado,False
231,3781,2016-12-25,Concluído,Ação Civil Pública,Comarca de Osasco,Processo iniciado,True
232,6364,2016-09-09,Em andamento,Ação Penal,Comarca de Osasco,Processo iniciado,False
233,1119,2020-12-25,Arquivado,Ação de Indenização,Comarca de Santo André,Processo iniciado,True
234,5996,2018-01-02,Em andamento,Ação Penal,Comarca de Osasco,Processo iniciado,True
235,2564,2017-02-02,Em andamento,Ação Penal,Comarca de São Bernardo do Campo,Execução de sentença,False
236,9059,2019-01-01,Arquivado,Ação Penal,Comarca de São Paulo,Execução de sentença,True
237,8769,2022-07-16,Em andamento,Ação de Indenização,Comarca de Santo André,Execução de sentença,False
238,1996,2017-09-22,Em andamento,Ação Civil Pública,Comarca de Osasco,Processo iniciado,False
239,5136,2021-09-21,Concluído,Ação Civil Pública,Comarca de São Bernardo do Campo,Execução de sentença,True
240,1548,2017-08-06,Em andamento,Ação Civil Pública,Comarca de Osasco,Processo iniciado,False
241,3776,2022-12-15,Arquivado,Ação de Indenização,Comarca de São Bernardo do Campo,Processo iniciado,False
242,9834,2017-02-13,Em andamento,Ação de Indenização,Comarca de Osasco,Execução de sentença,True
243,3775,2018-11-07,Concluído,Ação de Indenização,Comarca de Osasco,Processo iniciado,False
244,1615,2021-01-08,Arquivado,Ação Penal,Comarca de São Paulo,Processo iniciado,True
245,1349,2018-07-07,Arquivado,Ação Penal,Comarca de São Paulo,Processo iniciado,False
246,2617,2018-06-17,Concluído,Ação Penal,Comarca de Osasco,Processo iniciado,False
247,2196,2020-04-11,Em andamento,Ação de Indenização,Comarca de Osasco,Execução de sentença,False
248,7238,2021-12-10,Em andamento,Ação Civil Pública,Comarca de Santo André,Processo iniciado,False
249,5151,2018-11-04,Concluído,Ação Civil Pública,Comarca de Osasco,Processo iniciado,True
250,3953,2022-06-04,Concluído,Ação Civil Pública,Comarca de Santo André,Execução de sentença,False
251,4288,2022-03-09,Arquivado,Ação de Indenização,Comarca de Santo André,Execução de sentença,False
252,5874,2021-07-14,Arquivado,Ação de Indenização,Comarca de São Paulo,Execução de sentença,True
